step,wall_time,mean_speed,mean_nnd,global_polarity,flock_radius,mean_reward
379,37.314,0.66955,1.08038,0.9628,4.47505,0.72132
380,37.392,0.67207,1.07023,0.9633,4.43762,0.72069
381,37.47,0.67496,1.0703,0.96406,4.39949,0.72287
382,37.548,0.67749,1.0805,0.96457,4.36207,0.72305
383,37.629,0.67787,1.0925,0.9652,4.32481,0.72369
384,37.722,0.67843,1.08592,0.96607,4.28696,0.72557
385,37.799,0.67937,1.07804,0.96627,4.249,0.72392
386,37.878,0.68029,1.07934,0.96666,4.2112,0.72317
387,37.958,0.68239,1.07701,0.96707,4.17391,0.72209
388,38.038,0.68431,1.06655,0.96752,4.13685,0.72108
389,38.115,0.68642,1.05796,0.96803,4.10133,0.71988
390,38.192,0.6875,1.04698,0.96884,4.06646,0.7169
391,38.273,0.69084,1.02649,0.96947,4.03214,0.71492
392,38.353,0.69149,1.00901,0.97027,3.99935,0.71134
393,38.432,0.6962,0.99968,0.97068,3.96551,0.70923
394,38.508,0.70001,0.99833,0.97161,3.93232,0.70718
395,38.588,0.70347,0.98085,0.97208,3.90095,0.70566
396,38.668,0.70522,0.96419,0.97241,3.87037,0.70279
397,38.746,0.70966,0.96248,0.97317,3.8396,0.70111
398,38.825,0.71274,0.95731,0.97345,3.80743,0.69991
399,38.907,0.71464,0.95483,0.9739,3.77532,0.69899
400,39.0,0.71848,0.95943,0.97375,3.7434,0.6975
401,39.077,0.72061,0.9625,0.97416,3.71329,0.6967
402,39.16,0.72253,0.95817,0.97442,3.68447,0.69647
403,39.261,0.72444,0.95627,0.97483,3.6576,0.69658
404,39.355,0.72452,0.95948,0.97522,3.63125,0.69722
405,39.451,0.72435,0.95789,0.97514,3.60681,0.6978
406,39.544,0.72336,0.94954,0.97543,3.58255,0.69863
407,39.639,0.72268,0.92452,0.97576,3.55886,0.6991
408,39.733,0.72191,0.90208,0.97597,3.53529,0.69953
409,39.829,0.72231,0.88989,0.97628,3.51186,0.69983
410,39.925,0.72162,0.89005,0.97629,3.48931,0.701
411,40.02,0.71912,0.88326,0.97684,3.467,0.70312
412,40.107,0.71706,0.88212,0.97696,3.44442,0.70523
413,40.187,0.71464,0.88377,0.97738,3.42266,0.70755
414,40.264,0.71393,0.88008,0.97766,3.40085,0.70925
415,40.343,0.71462,0.87871,0.97789,3.37929,0.71055
416,40.422,0.71459,0.87968,0.97813,3.35799,0.71239
417,40.502,0.71317,0.87834,0.97822,3.33748,0.71488
418,40.581,0.71273,0.87472,0.97852,3.31758,0.71765
419,40.66,0.71272,0.86683,0.97914,3.29913,0.72045
420,40.741,0.71218,0.85314,0.97937,3.2821,0.72335
